Simulation Identification;PaperSim2_
Initial Battery;2.52E7
Sensor Cover Radius;70.0
Node Idle Energy Cost;0.6
CPU Processing Energy Cost;420.0
Communication Cost;288.39429
Communication Channel Type:eboracum.pathloss.LogDistanceChannel
Transmission Power;5.0
Receiver Sensivity;-104.0
Antenna Gain;2.15
Frequency;9.15E8
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.SimpleWSNNode;36
Summary of Events
Class Name;Type;Number of Instances;
eboracum.wsn.network.node.PeriodicEvent;E1;36;

Results
Simulation Total Time;40694400
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.PeriodicEvent;E1_35;E1;1414;0
Total Number of Sensed Events by the WSN;36487
Number of Sensed Events by the WSN per Day
1;109
2;108
3;108
4;108
5;108
6;108
7;108
8;108
9;108
10;108
11;108
12;108
13;108
14;108
15;108
16;108
17;108
18;108
19;108
20;108
21;108
22;108
23;108
24;108
25;108
26;108
27;108
28;108
29;108
30;108
31;108
32;108
33;108
34;108
35;108
36;108
37;108
38;108
39;108
40;108
41;108
42;108
43;108
44;108
45;108
46;108
47;108
48;108
49;108
50;108
51;108
52;108
53;108
54;108
55;108
56;108
57;108
58;108
59;108
60;108
61;108
62;108
63;108
64;108
65;108
66;108
67;108
68;108
69;108
70;108
71;108
72;108
73;108
74;108
75;108
76;108
77;108
78;108
79;108
80;108
81;108
82;108
83;108
84;108
85;108
86;108
87;108
88;108
89;108
90;108
91;108
92;108
93;108
94;108
95;108
96;108
97;108
98;108
99;108
100;108
101;108
102;108
103;108
104;108
105;108
106;108
107;108
108;108
109;108
110;108
111;108
112;108
113;108
114;108
115;108
116;108
117;108
118;108
119;108
120;108
121;108
122;108
123;108
124;108
125;108
126;108
127;108
128;108
129;108
130;108
131;108
132;108
133;108
134;108
135;108
136;108
137;108
138;108
139;108
140;108
141;108
142;108
143;108
144;108
145;108
146;108
147;108
148;108
149;108
150;108
151;108
152;108
153;108
154;108
155;108
156;108
157;108
158;108
159;108
160;108
161;108
162;108
163;108
164;108
165;108
166;108
167;108
168;108
169;108
170;108
171;108
172;108
173;108
174;108
175;108
176;108
177;108
178;108
179;108
180;108
181;108
182;108
183;108
184;108
185;108
186;108
187;108
188;108
189;108
190;108
191;108
192;108
193;108
194;108
195;108
196;108
197;108
198;108
199;108
200;108
201;108
202;108
203;108
204;108
205;108
206;108
207;108
208;108
209;108
210;108
211;108
212;108
213;108
214;108
215;108
216;108
217;108
218;108
219;108
220;108
221;108
222;108
223;108
224;108
225;108
226;108
227;108
228;108
229;108
230;108
231;108
232;108
233;108
234;108
235;108
236;108
237;108
238;108
239;108
240;108
241;108
242;108
243;108
244;108
245;108
246;108
247;108
248;108
249;108
250;108
251;108
252;108
253;108
254;108
255;108
256;108
257;108
258;108
259;108
260;108
261;108
262;108
263;108
264;108
265;108
266;108
267;108
268;108
269;108
270;108
271;108
272;108
273;108
274;108
275;108
276;108
277;108
278;108
279;108
280;108
281;108
282;108
283;108
284;108
285;108
286;108
287;108
288;108
289;108
290;108
291;108
292;108
293;108
294;108
295;108
296;108
297;108
298;108
299;108
300;108
301;108
302;108
303;108
304;108
305;108
306;108
307;108
308;108
309;108
310;108
311;108
312;108
313;108
314;108
315;108
316;108
317;108
318;108
319;103
320;18
321;18
322;18
323;18
324;18
325;18
326;18
327;18
328;18
329;18
330;18
331;18
332;18
333;18
334;18
335;18
336;18
337;18
338;18
339;18
340;18
341;18
342;18
343;18
344;18
345;18
346;18
347;18
348;18
349;18
350;18
351;18
352;18
353;18
354;18
355;18
356;18
357;18
358;18
359;18
360;18
361;18
362;18
363;18
364;18
365;18
366;18
367;18
368;18
369;18
370;18
371;18
372;18
373;18
374;18
375;18
376;18
377;18
378;18
379;18
380;18
381;18
382;18
383;18
384;18
385;18
386;18
387;18
388;18
389;18
390;18
391;18
392;18
393;18
394;18
395;18
396;18
397;18
398;18
399;18
400;18
401;18
402;18
403;18
404;18
405;18
406;18
407;18
408;18
409;18
410;18
411;18
412;18
413;18
414;18
415;18
416;18
417;18
418;18
419;18
420;18
421;18
422;18
423;18
424;18
425;18
426;18
427;18
428;18
429;18
430;18
431;18
432;18
433;5
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode3;0;20988;1401;1;1401;40345899.33285
eboracum.wsn.event.PeriodicEvent;E1_12;E1;1414;0
